,省,省代码,市,市代码,市类型,省类型,60岁以上人口,60岁以上人口比例,65岁以上人口,65岁以上人口比例,标签
0,安徽省,340000,安庆市,340800,地级市,省,496882,26.82,405144,21.87,超老龄社会
1,安徽省,340000,蚌埠市,340300,地级市,省,304710,20.58,255993,17.29,老龄社会
2,安徽省,340000,亳州市,341600,地级市,省,573016,19.94,483011,16.81,老龄社会
3,安徽省,340000,池州市,341700,地级市,省,167505,30.94,130738,24.15,超老龄社会
4,安徽省,340000,滁州市,341100,地级市,省,409590,26.92,342329,22.5,超老龄社会
5,安徽省,340000,阜阳市,341200,地级市,省,922740,19.39,769022,16.16,老龄社会
6,安徽省,340000,合肥市,340100,地级市,省,503395,30.31,428960,25.83,超老龄社会
7,安徽省,340000,淮北市,340600,地级市,省,130750,18.52,111519,15.79,老龄社会
8,安徽省,340000,淮南市,340400,地级市,省,284995,24.14,234886,19.89,老龄社会
9,安徽省,340000,黄山市,341000,地级市,省,180419,32.51,138267,24.92,超老龄社会
10,安徽省,340000,六安市,341500,地级市,省,614307,27.14,497302,21.97,超老龄社会
11,安徽省,340000,马鞍山市,340500,地级市,省,172539,28.22,146706,24,超老龄社会
12,安徽省,340000,宿州市,341300,地级市,省,635543,21.22,529568,17.68,老龄社会
13,安徽省,340000,铜陵市,340700,地级市,省,134618,30.34,106368,23.97,超老龄社会
14,安徽省,340000,芜湖市,340200,地级市,省,292192,28.96,246132,24.39,超老龄社会
15,安徽省,340000,宣城市,341800,地级市,省,327073,33.39,269022,27.46,超老龄社会
17,北京市,110000,北京市,110000,直辖市,直辖市,623362,22.86,423540,15.53,老龄社会
18,福建省,350000,福州市,350100,地级市,省,494255,21.67,356175,15.61,老龄社会
19,福建省,350000,龙岩市,350800,地级市,省,261431,25.86,196995,19.48,老龄社会
20,福建省,350000,南平市,350700,地级市,省,293121,27.1,214683,19.85,老龄社会
21,福建省,350000,宁德市,350900,地级市,省,308396,25.12,221436,18.04,老龄社会
22,福建省,350000,莆田市,350300,地级市,省,273609,22.85,195617,16.34,老龄社会
23,福建省,350000,泉州市,350500,地级市,省,510254,18.42,359181,12.97,老龄化社会
24,福建省,350000,三明市,350400,地级市,省,245507,26.83,180639,19.74,老龄社会
25,福建省,350000,厦门市,350200,地级市,省,74573,13.64,49656,9.08,老龄化社会
26,福建省,350000,漳州市,350600,地级市,省,425902,21.81,296766,15.2,老龄社会
27,甘肃省,620000,白银市,620400,地级市,省,160018,24.36,118182,17.99,老龄社会
28,甘肃省,620000,定西市,621100,地级市,省,321898,20.7,245870,15.81,老龄社会
29,甘肃省,620000,甘南藏族自治州,623000,自治州,省,58054,14.54,45469,11.39,老龄化社会
30,甘肃省,620000,嘉峪关市,620200,地级市,省,3820,21.95,2947,16.93,老龄社会
31,甘肃省,620000,金昌市,620300,地级市,省,28422,28.7,21155,21.37,超老龄社会
32,甘肃省,620000,酒泉市,620900,地级市,省,80891,21.4,58445,15.46,老龄社会
33,甘肃省,620000,兰州市,620100,地级市,省,159199,21.6,115468,15.67,老龄社会
34,甘肃省,620000,临夏回族自治州,622900,自治州,省,191125,14.32,144710,10.84,老龄化社会
35,甘肃省,620000,陇南市,621200,地级市,省,293545,19.11,228912,14.9,老龄社会
36,甘肃省,620000,平凉市,620800,地级市,省,239612,23.47,185423,18.16,老龄社会
37,甘肃省,620000,庆阳市,621000,地级市,省,285143,22.51,208222,16.44,老龄社会
38,甘肃省,620000,天水市,620500,地级市,省,314006,19.33,242193,14.91,老龄社会
39,甘肃省,620000,武威市,620600,地级市,省,177895,22.92,130295,16.79,老龄社会
40,甘肃省,620000,张掖市,620700,地级市,省,120603,21.89,89211,16.19,老龄社会
41,广东省,440000,潮州市,445100,地级市,省,185785,20.2,128372,13.96,老龄社会
42,广东省,440000,东莞市,441900,地级市,省,65029,7.91,44621,5.43,年轻社会
43,广东省,440000,佛山市,440600,地级市,省,71512,15.67,52019,11.4,老龄化社会
44,广东省,440000,广州市,440100,地级市,省,340544,13.2,245697,9.52,老龄化社会
45,广东省,440000,河源市,441600,地级市,省,298048,20.39,218248,14.93,老龄社会
46,广东省,440000,惠州市,441300,地级市,省,230152,14,163647,9.96,老龄化社会
47,广东省,440000,江门市,440700,地级市,省,379658,24.44,275303,17.73,老龄社会
48,广东省,440000,揭阳市,445200,地级市,省,452212,16.43,319205,11.6,老龄化社会
49,广东省,440000,茂名市,440900,地级市,省,653030,18.74,472526,13.56,老龄化社会
50,广东省,440000,梅州市,441400,地级市,省,434952,23.19,317644,16.94,老龄社会
51,广东省,440000,清远市,441800,地级市,省,350992,19.43,255634,14.15,老龄社会
52,广东省,440000,汕头市,440500,地级市,省,240891,14.94,168001,10.42,老龄化社会
53,广东省,440000,汕尾市,441500,地级市,省,191338,16.25,139828,11.88,老龄化社会
54,广东省,440000,韶关市,440200,地级市,省,249420,20.47,178547,14.66,老龄社会
55,广东省,440000,深圳市,440300,地级市,省,2889,5.8,1788,3.59,年轻社会
56,广东省,440000,阳江市,441700,地级市,省,243688,20.42,184979,15.5,老龄社会
57,广东省,440000,云浮市,445300,地级市,省,266684,19.9,193844,14.47,老龄社会
58,广东省,440000,湛江市,440800,地级市,省,713010,18.73,517246,13.58,老龄化社会
59,广东省,440000,肇庆市,441200,地级市,省,389320,19.32,285458,14.17,老龄社会
60,广东省,440000,中山市,442000,地级市,省,71242,12.36,49196,8.54,老龄化社会
61,广东省,440000,珠海市,440400,地级市,省,37042,15.93,25580,11,老龄化社会
62,广西壮族自治区,450000,百色市,451000,地级市,自治区,405130,20.06,305543,15.13,老龄社会
63,广西壮族自治区,450000,北海市,450500,地级市,自治区,156772,17.94,115729,13.24,老龄化社会
64,广西壮族自治区,450000,崇左市,451400,地级市,自治区,264480,22.59,199040,17,老龄社会
65,广西壮族自治区,450000,防城港市,450600,地级市,自治区,73966,18.38,54795,13.62,老龄化社会
66,广西壮族自治区,450000,贵港市,450800,地级市,自治区,401558,18.61,303639,14.07,老龄社会
67,广西壮族自治区,450000,桂林市,450300,地级市,自治区,577727,24.71,429717,18.38,老龄社会
68,广西壮族自治区,450000,河池市,451200,地级市,自治区,392283,20.82,295041,15.66,老龄社会
69,广西壮族自治区,450000,贺州市,451100,地级市,自治区,194233,19.07,145297,14.26,老龄社会
70,广西壮族自治区,450000,来宾市,451300,地级市,自治区,232362,21.76,174906,16.38,老龄社会
71,广西壮族自治区,450000,柳州市,450200,地级市,自治区,273930,21.91,207530,16.6,老龄社会
72,广西壮族自治区,450000,南宁市,450100,地级市,自治区,573008,21.08,431124,15.86,老龄社会
73,广西壮族自治区,450000,钦州市,450700,地级市,自治区,344865,18.01,254933,13.31,老龄化社会
74,广西壮族自治区,450000,梧州市,450400,地级市,自治区,234495,19.13,177668,14.5,老龄社会
75,广西壮族自治区,450000,玉林市,450900,地级市,自治区,532047,18.27,395487,13.58,老龄化社会
76,贵州省,520000,安顺市,520400,地级市,省,241382,18.23,178500,13.48,老龄化社会
77,贵州省,520000,毕节市,520500,地级市,省,637041,15.95,479731,12.01,老龄化社会
78,贵州省,520000,贵阳市,520100,地级市,省,200038,16.77,148314,12.43,老龄化社会
79,贵州省,520000,六盘水市,520200,地级市,省,254511,16.42,188225,12.14,老龄化社会
80,贵州省,520000,黔东南苗族侗族自治州,522600,自治州,省,428186,20.92,333239,16.28,老龄社会
81,贵州省,520000,黔南布依族苗族自治州,522700,自治州,省,350485,20.69,266669,15.74,老龄社会
82,贵州省,520000,黔西南布依族苗族自治州,522300,自治州,省,289794,17.84,210970,12.99,老龄化社会
83,贵州省,520000,铜仁市,520600,地级市,省,415142,23.33,333701,18.75,老龄社会
84,贵州省,520000,遵义市,520300,地级市,省,665045,23.24,535986,18.73,老龄社会
89,海南省,460000,儋州市,460400,地级市,省,65910,15.04,46940,10.71,老龄化社会
92,海南省,460000,海口市,460100,地级市,省,92384,17.63,68539,13.08,老龄化社会
99,海南省,460000,三亚市,460200,地级市,省,32290,10.53,21739,7.09,老龄化社会
104,河北省,130000,保定市,130600,地级市,省,1174039,22.94,840043,16.41,老龄社会
105,河北省,130000,沧州市,130900,地级市,省,824151,23.1,593579,16.64,老龄社会
106,河北省,130000,承德市,130800,地级市,省,414066,28.43,268486,18.44,老龄社会
107,河北省,130000,邯郸市,130400,地级市,省,759535,19.33,534871,13.61,老龄化社会
108,河北省,130000,衡水市,131100,地级市,省,574324,30.12,421663,22.11,超老龄社会
109,河北省,130000,廊坊市,131000,地级市,省,397390,20.69,279196,14.53,老龄社会
