,省,60岁以上人口,60岁以上人口比例,65岁以上人口,65岁以上人口比例
0,安徽省,11469236,18.79,9159411,15.01
2,北京市,4298590,19.63,2912060,13.3
3,福建省,6637869,15.98,4609999,11.1
4,甘肃省,4260991,17.03,3147817,12.58
5,广东省,15565066,12.35,10813000,8.58
6,广西壮族自治区,8363779,16.69,6114117,12.2
7,贵州省,5931357,15.38,4456455,11.56
8,海南省,1476599,14.65,1051500,10.43
9,河北省,14812048,19.85,10387937,13.92
10,河南省,17964048,18.08,13401904,13.94
11,黑龙江省,7395690,23.22,4972868,15.61
12,湖北省,11794995,20.42,8424339,14.59
13,湖南省,13211281,19.88,9842067,14.81
14,吉林省,5551165,23.06,3757224,15.61
15,江苏省,18505345,21.84,13726531,16.2
16,江西省,7624781,16.87,5371021,11.89
17,辽宁省,10954467,25.72,7417481,17.42
18,内蒙古自治区,4757233,19.78,3138918,13.05
19,宁夏回族自治区,974142,13.52,692824,9.62
20,青海省,719402,12.14,514093,8.68
21,山东省,21220806,20.9,15364078,15.13
22,山西省,6607025,18.92,4504674,12.9
23,陕西省,7591202,19.2,5266597,13.32
24,上海市,5815462,23.38,4049012,16.28
25,四川省,18163804,21.71,14167600,16.93
27,天津市,3002688,21.66,2045692,14.75
28,西藏自治区,310984,8.52,206963,5.67
30,新疆维吾尔自治区,2917009,11.28,2005885,7.76
31,云南省,7038030,14.91,5073259,10.75
32,浙江省,12072684,18.7,8566349,13.27
33,重庆市,7010440,21.87,5473605,17.08
