"时间","curr_level","人均时长","stage_start.总次数","stage_win.总次数","ads_reward.总次数","加步","道具使用","任意事件.触发用户数"
"2023-08-19","[200,250)","14531.01","95","28","49","0","4","7"
"2023-08-20","[200,250)","21702.86","138","43","103","0","34","6"
"2023-08-21","[200,250)","18705.83","102","35","90","0","21","4"
"2023-08-22","[200,250)","4013.71","44","14","3","1","4","2"
"2023-08-23","[200,250)","3756.55","45","10","2","0","0","2"
"2023-08-24","[200,250)","4391.42","48","11","1","2","1","2"
"2023-08-25","[200,250)","1682.05","20","0","0","0","1","1"
"2023-08-26","[200,250)","2935.13","25","3","0","0","1","1"
"2023-08-27","[200,250)","2623.85","24","12","0","0","1","1"
"2023-08-28","[200,250)","0","0","0","0","0","0","0"
"2023-08-29","[200,250)","0","0","0","0","0","0","0"
"2023-08-30","[200,250)","0","0","0","0","0","0","0"
"2023-08-31","[200,250)","0","0","0","0","0","0","0"
"2023-08-19","[150,200)","4169.1","26","6","21","0","2","4"
"2023-08-20","[150,200)","8949.3","41","16","37","0","17","4"
"2023-08-21","[150,200)","2171.9","13","1","7","0","1","3"
"2023-08-22","[150,200)","1637.49","11","3","5","0","3","2"
"2023-08-23","[150,200)","0","0","0","0","0","0","0"
"2023-08-24","[150,200)","1868.33","12","2","3","2","1","2"
"2023-08-25","[150,200)","0","0","0","0","0","0","0"
"2023-08-26","[150,200)","1272.88","7","3","7","0","0","1"
"2023-08-27","[150,200)","2243.16","12","3","14","0","3","1"
"2023-08-28","[150,200)","4829.63","33","14","10","0","8","4"
"2023-08-29","[150,200)","5991.16","48","15","7","0","4","3"
"2023-08-30","[150,200)","1572.72","13","6","3","1","2","3"
"2023-08-31","[150,200)","2110.42","12","2","16","0","1","1"
"2023-08-19","[300,+∞)","2784.81","14","0","0","0","0","1"
"2023-08-20","[300,+∞)","1500.77","8","0","0","0","0","1"
"2023-08-21","[300,+∞)","9215.87","58","15","29","1","3","2"
"2023-08-22","[300,+∞)","11697.44","69","33","29","1","3","2"
"2023-08-23","[300,+∞)","12890.21","70","24","63","0","4","3"
"2023-08-24","[300,+∞)","12519.13","63","16","69","1","3","3"
"2023-08-25","[300,+∞)","12274.84","65","20","63","0","5","3"
"2023-08-26","[300,+∞)","6769.6","52","2","14","0","2","3"
"2023-08-27","[300,+∞)","19942.17","85","30","101","0","5","5"
"2023-08-28","[300,+∞)","19062.72","115","33","118","2","17","5"
"2023-08-29","[300,+∞)","17375.86","97","32","102","0","27","6"
"2023-08-30","[300,+∞)","12295.74","87","17","78","0","11","4"
"2023-08-31","[300,+∞)","12322.33","69","16","92","0","18","4"
"2023-08-19","[100,150)","37849.82","205","76","86","7","19","14"
"2023-08-20","[100,150)","25069.59","136","39","65","3","12","14"
"2023-08-21","[100,150)","17385.63","104","21","43","1","11","10"
"2023-08-22","[100,150)","14415.22","86","9","36","0","6","11"
"2023-08-23","[100,150)","14484.6","92","7","22","1","10","10"
