"时间","curr_level","人均时长","stage_start.总次数","stage_win.总次数","ads_reward.总次数","加步","道具使用","任意事件.触发用户数"
"2023-08-17","[300,+∞)","17148.65","80","25","131","1","22","9"
"2023-08-18","[300,+∞)","199240.01","742","368","1521","8","287","46"
"2023-08-19","[300,+∞)","287220.9","1037","415","2170","18","328","57"
"2023-08-20","[300,+∞)","307108.47","1150","536","2121","19","431","68"
"2023-08-21","[300,+∞)","390131.84","1298","675","2703","15","487","76"
"2023-08-22","[300,+∞)","338926.51","1337","574","2556","12","414","85"
"2023-08-23","[300,+∞)","339565.65","1221","473","2543","15","384","78"
"2023-08-24","[300,+∞)","387158.64","1359","580","2762","24","464","88"
"2023-08-25","[300,+∞)","388194.19","1421","552","2899","33","406","91"
"2023-08-26","[300,+∞)","389758.08","1292","481","2824","37","296","87"
"2023-08-27","[300,+∞)","363186.93","1344","439","2940","15","325","80"
"2023-08-28","[300,+∞)","341080.91","1198","366","2701","9","316","77"
"2023-08-29","[300,+∞)","217320.72","791","264","1642","10","224","51"
"2023-08-30","[300,+∞)","165726.4","582","200","1240","9","176","40"
"2023-08-17","[40,60)","71042.72","296","198","335","34","80","22"
"2023-08-18","[40,60)","214176.98","931","531","649","40","207","108"
"2023-08-19","[40,60)","303372.23","1399","794","1046","41","473","139"
"2023-08-20","[40,60)","284824.46","1370","736","879","47","392","145"
"2023-08-21","[40,60)","438838.94","1832","1022","1357","64","539","178"
"2023-08-22","[40,60)","376385.81","1818","989","1156","68","434","182"
"2023-08-23","[40,60)","405545.68","1876","1019","1242","50","446","203"
"2023-08-24","[40,60)","361184.12","1798","1060","1076","87","461","187"
"2023-08-25","[40,60)","308266.45","1444","812","736","51","290","174"
"2023-08-26","[40,60)","353348.51","1682","863","865","76","334","188"
"2023-08-27","[40,60)","370465.45","1872","1111","1076","58","428","198"
"2023-08-28","[40,60)","275463","1397","752","690","90","295","170"
"2023-08-29","[40,60)","155764.75","843","465","426","49","144","99"
"2023-08-30","[40,60)","86725.74","427","181","272","6","69","56"
"2023-08-17","[0,20)","150125.46","2221","1938","334","178","237","257"
"2023-08-18","[0,20)","230685.3","3413","2964","409","312","422","727"
"2023-08-19","[0,20)","229503.44","3380","2817","448","329","373","906"
"2023-08-20","[0,20)","259303.75","3550","2912","476","355","374","1038"
"2023-08-21","[0,20)","272343.33","3733","3228","471","276","464","1187"
"2023-08-22","[0,20)","268303.59","3840","3204","453","320","441","1270"
